 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  47,   projectile: electron
 #  Kinetic energy = 5.05000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  9.23187E-07  9.67821E-08  0.00000E+00  0.00000E+00  3.54340E-09  0.00000E+00
  1.000E-04  7.61557E-13  9.23184E-07  9.67820E-08  7.31603E-13  7.67013E-14  3.54238E-09  1.13196E-07
  1.250E-04  1.18994E-12  9.23182E-07  9.67820E-08  9.14502E-13  9.58766E-14  3.54181E-09  1.13187E-07
  1.500E-04  1.71346E-12  9.23180E-07  9.67820E-08  1.09740E-12  1.15052E-13  3.54112E-09  1.13176E-07
  1.750E-04  2.33225E-12  9.23178E-07  9.67820E-08  1.28030E-12  1.34227E-13  3.54029E-09  1.13163E-07
  2.000E-04  3.04617E-12  9.23175E-07  9.67819E-08  1.46319E-12  1.53402E-13  3.53934E-09  1.13148E-07
  2.250E-04  3.85530E-12  9.23171E-07  9.67819E-08  1.64608E-12  1.72578E-13  3.53827E-09  1.13131E-07
  2.500E-04  4.75964E-12  9.23168E-07  9.67819E-08  1.82898E-12  1.91753E-13  3.53707E-09  1.13112E-07
  2.750E-04  5.75917E-12  9.23164E-07  9.67819E-08  2.01186E-12  2.10928E-13  3.53574E-09  1.13091E-07
  3.000E-04  6.85391E-12  9.23159E-07  9.67818E-08  2.19475E-12  2.30103E-13  3.53428E-09  1.13068E-07
  3.250E-04  8.04379E-12  9.23155E-07  9.67818E-08  2.37763E-12  2.49279E-13  3.53270E-09  1.13043E-07
  3.500E-04  9.32893E-12  9.23150E-07  9.67817E-08  2.56051E-12  2.68454E-13  3.53099E-09  1.13016E-07
  3.750E-04  1.07092E-11  9.23144E-07  9.67817E-08  2.74339E-12  2.87629E-13  3.52916E-09  1.12987E-07
  4.000E-04  1.21847E-11  9.23138E-07  9.67816E-08  2.92627E-12  3.06804E-13  3.52720E-09  1.12956E-07
  4.250E-04  1.37554E-11  9.23132E-07  9.67816E-08  3.10914E-12  3.25979E-13  3.52512E-09  1.12923E-07
  4.500E-04  1.54213E-11  9.23125E-07  9.67815E-08  3.29200E-12  3.45154E-13  3.52291E-09  1.12888E-07
  4.750E-04  1.71823E-11  9.23118E-07  9.67814E-08  3.47487E-12  3.64329E-13  3.52057E-09  1.12852E-07
  5.000E-04  1.90386E-11  9.23111E-07  9.67814E-08  3.65772E-12  3.83504E-13  3.51811E-09  1.12813E-07
  5.250E-04  2.09900E-11  9.23103E-07  9.67813E-08  3.84058E-12  4.02679E-13  3.51552E-09  1.12772E-07
  5.500E-04  2.30367E-11  9.23095E-07  9.67812E-08  4.02343E-12  4.21854E-13  3.51281E-09  1.12729E-07
  5.750E-04  2.51785E-11  9.23086E-07  9.67812E-08  4.20627E-12  4.41029E-13  3.50997E-09  1.12684E-07
  6.000E-04  2.74156E-11  9.23077E-07  9.67811E-08  4.38911E-12  4.60203E-13  3.50701E-09  1.12637E-07
  6.250E-04  2.97478E-11  9.23068E-07  9.67810E-08  4.57194E-12  4.79378E-13  3.50392E-09  1.12588E-07
  6.500E-04  3.21752E-11  9.23058E-07  9.67809E-08  4.75477E-12  4.98553E-13  3.50071E-09  1.12537E-07
  6.750E-04  3.46979E-11  9.23048E-07  9.67808E-08  4.93759E-12  5.17727E-13  3.49738E-09  1.12485E-07
  7.000E-04  3.73157E-11  9.23037E-07  9.67807E-08  5.12041E-12  5.36902E-13  3.49392E-09  1.12430E-07
  7.250E-04  4.00286E-11  9.23026E-07  9.67806E-08  5.30322E-12  5.56076E-13  3.49033E-09  1.12373E-07
