 #
 # Projectile: electron
 # Kinetic energy = 5.90000E+06 eV = 2.16821E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 5.09348E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file z_047.den   
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.32006E-18 cm**2 = 1.54272E-01 a0**2
 # 1st transport cross section = 8.81551E-23 cm**2 = 3.14808E-06 a0**2
 # 2nd transport cross section = 2.47037E-22 cm**2 = 8.82185E-06 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  1.14521E-12  4.08963E+04
  1.000E-04  7.61557E-13  1.14520E-12  4.08960E+04
  1.250E-04  1.18994E-12  1.14520E-12  4.08958E+04
  1.500E-04  1.71346E-12  1.14519E-12  4.08955E+04
  1.750E-04  2.33225E-12  1.14518E-12  4.08952E+04
  2.000E-04  3.04617E-12  1.14517E-12  4.08949E+04
  2.250E-04  3.85530E-12  1.14516E-12  4.08945E+04
  2.500E-04  4.75964E-12  1.14515E-12  4.08941E+04
  2.750E-04  5.75917E-12  1.14514E-12  4.08936E+04
  3.000E-04  6.85391E-12  1.14512E-12  4.08931E+04
  3.250E-04  8.04379E-12  1.14511E-12  4.08926E+04
  3.500E-04  9.32893E-12  1.14509E-12  4.08920E+04
  3.750E-04  1.07092E-11  1.14507E-12  4.08913E+04
  4.000E-04  1.21847E-11  1.14505E-12  4.08906E+04
  4.250E-04  1.37554E-11  1.14503E-12  4.08899E+04
  4.500E-04  1.54213E-11  1.14501E-12  4.08891E+04
  4.750E-04  1.71823E-11  1.14499E-12  4.08883E+04
  5.000E-04  1.90386E-11  1.14496E-12  4.08874E+04
  5.250E-04  2.09900E-11  1.14494E-12  4.08865E+04
  5.500E-04  2.30367E-11  1.14491E-12  4.08855E+04
  5.750E-04  2.51785E-11  1.14488E-12  4.08845E+04
  6.000E-04  2.74156E-11  1.14485E-12  4.08835E+04
  6.250E-04  2.97478E-11  1.14482E-12  4.08824E+04
  6.500E-04  3.21752E-11  1.14479E-12  4.08813E+04
  6.750E-04  3.46979E-11  1.14476E-12  4.08801E+04
  7.000E-04  3.73157E-11  1.14472E-12  4.08789E+04
  7.250E-04  4.00286E-11  1.14469E-12  4.08776E+04
  7.500E-04  4.28368E-11  1.14465E-12  4.08763E+04
  7.750E-04  4.57402E-11  1.14461E-12  4.08749E+04
  8.000E-04  4.87388E-11  1.14457E-12  4.08735E+04
  8.250E-04  5.18325E-11  1.14453E-12  4.08721E+04
  8.500E-04  5.50215E-11  1.14449E-12  4.08706E+04
  8.750E-04  5.83057E-11  1.14445E-12  4.08690E+04
  9.000E-04  6.16850E-11  1.14440E-12  4.08674E+04
  9.250E-04  6.51595E-11  1.14436E-12  4.08658E+04
  9.500E-04  6.87293E-11  1.14431E-12  4.08641E+04
  9.750E-04  7.23943E-11  1.14426E-12  4.08624E+04
  1.000E-03  7.61544E-11  1.14422E-12  4.08607E+04
  1.250E-03  1.18991E-10  1.14365E-12  4.08406E+04
  1.500E-03  1.71347E-10  1.14297E-12  4.08162E+04
  1.750E-03  2.33223E-10  1.14216E-12  4.07873E+04
  2.000E-03  3.04617E-10  1.14123E-12  4.07541E+04
  2.250E-03  3.85531E-10  1.14018E-12  4.07164E+04
  2.500E-03  4.75965E-10  1.13900E-12  4.06745E+04
  2.750E-03  5.75917E-10  1.13771E-12  4.06282E+04
  3.000E-03  6.85389E-10  1.13629E-12  4.05776E+04
  3.250E-03  8.04380E-10  1.13475E-12  4.05228E+04
  3.500E-03  9.32891E-10  1.13310E-12  4.04637E+04
  3.750E-03  1.07092E-09  1.13133E-12  4.04005E+04
  4.000E-03  1.21847E-09  1.12944E-12  4.03331E+04
  4.250E-03  1.37554E-09  1.12744E-12  4.02617E+04
  4.500E-03  1.54213E-09  1.12533E-12  4.01861E+04
  4.750E-03  1.71823E-09  1.12310E-12  4.01066E+04
  5.000E-03  1.90386E-09  1.12076E-12  4.00231E+04
  5.250E-03  2.09900E-09  1.11831E-12  3.99357E+04
  5.500E-03  2.30367E-09  1.11576E-12  3.98445E+04
  5.750E-03  2.51785E-09  1.11310E-12  3.97494E+04
  6.000E-03  2.74156E-09  1.11033E-12  3.96506E+04
  6.250E-03  2.97478E-09  1.10746E-12  3.95481E+04
  6.500E-03  3.21752E-09  1.10449E-12  3.94420E+04
  6.750E-03  3.46978E-09  1.10142E-12  3.93324E+04
  7.000E-03  3.73156E-09  1.09825E-12  3.92193E+04
  7.250E-03  4.00286E-09  1.09499E-12  3.91027E+04
  7.500E-03  4.28368E-09  1.09163E-12  3.89828E+04
  7.750E-03  4.57402E-09  1.08818E-12  3.88596E+04
  8.000E-03  4.87388E-09  1.08464E-12  3.87331E+04
  8.250E-03  5.18326E-09  1.08101E-12  3.86035E+04
  8.500E-03  5.50215E-09  1.07729E-12  3.84709E+04
  8.750E-03  5.83057E-09  1.07349E-12  3.83352E+04
  9.000E-03  6.16850E-09  1.06961E-12  3.81966E+04
  9.250E-03  6.51596E-09  1.06565E-12  3.80551E+04
  9.500E-03  6.87293E-09  1.06161E-12  3.79109E+04
  9.750E-03  7.23942E-09  1.05750E-12  3.77640E+04
  1.000E-02  7.61544E-09  1.05331E-12  3.76144E+04
  1.250E-02  1.18991E-08  1.00786E-12  3.59912E+04
  1.500E-02  1.71347E-08  9.57417E-13  3.41900E+04
  1.750E-02  2.33223E-08  9.04035E-13  3.22837E+04
  2.000E-02  3.04617E-08  8.49494E-13  3.03360E+04
  2.250E-02  3.85531E-08  7.95243E-13  2.83986E+04
  2.500E-02  4.75965E-08  7.42372E-13  2.65106E+04
  2.750E-02  5.75917E-08  6.91642E-13  2.46990E+04
  3.000E-02  6.85389E-08  6.43529E-13  2.29809E+04
  3.250E-02  8.04380E-08  5.98289E-13  2.13653E+04
  3.500E-02  9.32891E-08  5.56011E-13  1.98555E+04
  3.750E-02  1.07092E-07  5.16666E-13  1.84505E+04
  4.000E-02  1.21847E-07  4.80154E-13  1.71466E+04
  4.250E-02  1.37554E-07  4.46329E-13  1.59387E+04
  4.500E-02  1.54213E-07  4.15021E-13  1.48207E+04
  4.750E-02  1.71823E-07  3.86054E-13  1.37862E+04
  5.000E-02  1.90386E-07  3.59254E-13  1.28292E+04
  5.250E-02  2.09900E-07  3.34453E-13  1.19435E+04
  5.500E-02  2.30367E-07  3.11492E-13  1.11236E+04
  5.750E-02  2.51785E-07  2.90227E-13  1.03642E+04
  6.000E-02  2.74156E-07  2.70523E-13  9.66055E+03
  6.250E-02  2.97478E-07  2.52256E-13  9.00824E+03
  6.500E-02  3.21752E-07  2.35315E-13  8.40327E+03
  6.750E-02  3.46978E-07  2.19597E-13  7.84196E+03
  7.000E-02  3.73156E-07  2.05008E-13  7.32098E+03
  7.250E-02  4.00286E-07  1.91463E-13  6.83726E+03
  7.500E-02  4.28368E-07  1.78882E-13  6.38798E+03
