 #
 # Projectile: electron
 # Kinetic energy = 8.05000E+06 eV = 2.95832E+05 a.u.
 #
 # Element: Ag,  Z =  47,  atomic weight = 1.07868E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 47
 #
 # Electron density: Read from file z_047.den   
 #                   Number of data points =  813
 #                   Volume integral = 4.70000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 4.30927E-18 cm**2 = 1.53887E-01 a0**2
 # 1st transport cross section = 5.13130E-23 cm**2 = 1.83242E-06 a0**2
 # 2nd transport cross section = 1.44410E-22 cm**2 = 5.15699E-06 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  2.04218E-12  7.29274E+04
  1.000E-04  7.61557E-13  2.04214E-12  7.29263E+04
  1.250E-04  1.18994E-12  2.04213E-12  7.29257E+04
  1.500E-04  1.71346E-12  2.04210E-12  7.29249E+04
  1.750E-04  2.33225E-12  2.04208E-12  7.29240E+04
  2.000E-04  3.04617E-12  2.04205E-12  7.29229E+04
  2.250E-04  3.85530E-12  2.04202E-12  7.29217E+04
  2.500E-04  4.75964E-12  2.04198E-12  7.29203E+04
  2.750E-04  5.75917E-12  2.04194E-12  7.29188E+04
  3.000E-04  6.85391E-12  2.04189E-12  7.29172E+04
  3.250E-04  8.04379E-12  2.04184E-12  7.29154E+04
  3.500E-04  9.32893E-12  2.04179E-12  7.29135E+04
  3.750E-04  1.07092E-11  2.04173E-12  7.29115E+04
  4.000E-04  1.21847E-11  2.04167E-12  7.29092E+04
  4.250E-04  1.37554E-11  2.04160E-12  7.29069E+04
  4.500E-04  1.54213E-11  2.04153E-12  7.29044E+04
  4.750E-04  1.71823E-11  2.04146E-12  7.29018E+04
  5.000E-04  1.90386E-11  2.04138E-12  7.28990E+04
  5.250E-04  2.09900E-11  2.04130E-12  7.28961E+04
  5.500E-04  2.30367E-11  2.04121E-12  7.28931E+04
  5.750E-04  2.51785E-11  2.04112E-12  7.28899E+04
  6.000E-04  2.74156E-11  2.04103E-12  7.28865E+04
  6.250E-04  2.97478E-11  2.04093E-12  7.28830E+04
  6.500E-04  3.21752E-11  2.04083E-12  7.28794E+04
  6.750E-04  3.46979E-11  2.04073E-12  7.28757E+04
  7.000E-04  3.73157E-11  2.04062E-12  7.28717E+04
  7.250E-04  4.00286E-11  2.04050E-12  7.28677E+04
  7.500E-04  4.28368E-11  2.04039E-12  7.28635E+04
  7.750E-04  4.57402E-11  2.04026E-12  7.28592E+04
