 #
 # Projectile: electron
 # Kinetic energy = 5.10000E+06 eV = 1.87422E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.76693E-18 cm**2 = 2.77362E-01 a0**2
 # 1st transport cross section = 3.35441E-22 cm**2 = 1.19788E-05 a0**2
 # 2nd transport cross section = 9.02047E-22 cm**2 = 3.22127E-05 a0**2
 #
 #
 # Differential cross section:                     
 #
 #  THETA        MU          DCS          DCS      
 #  (deg)                 (cm**2/sr)   (a0**2/sr)  
 #-------------------------------------------------
  0.000E+00  0.00000E+00  1.24451E-12  4.44421E+04 
  1.000E-04  7.61557E-13  1.24450E-12  4.44419E+04 
  1.250E-04  1.18994E-12  1.24450E-12  4.44417E+04 
  1.500E-04  1.71346E-12  1.24449E-12  4.44416E+04 
  1.750E-04  2.33225E-12  1.24449E-12  4.44414E+04 
  2.000E-04  3.04617E-12  1.24448E-12  4.44412E+04 
  2.250E-04  3.85530E-12  1.24447E-12  4.44410E+04 
  2.500E-04  4.75964E-12  1.24447E-12  4.44407E+04 
  2.750E-04  5.75917E-12  1.24446E-12  4.44405E+04 
  3.000E-04  6.85391E-12  1.24445E-12  4.44402E+04 
  3.250E-04  8.04379E-12  1.24444E-12  4.44398E+04 
  3.500E-04  9.32893E-12  1.24443E-12  4.44395E+04 
  3.750E-04  1.07092E-11  1.24442E-12  4.44391E+04 
  4.000E-04  1.21847E-11  1.24441E-12  4.44387E+04 
  4.250E-04  1.37554E-11  1.24440E-12  4.44382E+04 
  4.500E-04  1.54213E-11  1.24438E-12  4.44377E+04 
  4.750E-04  1.71823E-11  1.24437E-12  4.44373E+04 
  5.000E-04  1.90386E-11  1.24436E-12  4.44367E+04 
  5.250E-04  2.09900E-11  1.24434E-12  4.44362E+04 
  5.500E-04  2.30367E-11  1.24432E-12  4.44356E+04 
  5.750E-04  2.51785E-11  1.24431E-12  4.44350E+04 
  6.000E-04  2.74156E-11  1.24429E-12  4.44344E+04 
  6.250E-04  2.97478E-11  1.24427E-12  4.44337E+04 
  6.500E-04  3.21752E-11  1.24425E-12  4.44330E+04 
  6.750E-04  3.46979E-11  1.24423E-12  4.44323E+04 
  7.000E-04  3.73157E-11  1.24421E-12  4.44316E+04 
  7.250E-04  4.00286E-11  1.24419E-12  4.44308E+04 
  7.500E-04  4.28368E-11  1.24417E-12  4.44300E+04 
  7.750E-04  4.57402E-11  1.24414E-12  4.44292E+04 
  8.000E-04  4.87388E-11  1.24412E-12  4.44284E+04 
  8.250E-04  5.18325E-11  1.24410E-12  4.44275E+04 
  8.500E-04  5.50215E-11  1.24407E-12  4.44266E+04 
  8.750E-04  5.83057E-11  1.24405E-12  4.44257E+04 
  9.000E-04  6.16850E-11  1.24402E-12  4.44247E+04 
  9.250E-04  6.51595E-11  1.24399E-12  4.44238E+04 
  9.500E-04  6.87293E-11  1.24396E-12  4.44228E+04 
  9.750E-04  7.23943E-11  1.24394E-12  4.44217E+04 
  1.000E-03  7.61544E-11  1.24391E-12  4.44207E+04 
  1.250E-03  1.18991E-10  1.24357E-12  4.44086E+04 
  1.500E-03  1.71347E-10  1.24316E-12  4.43939E+04 
  1.750E-03  2.33223E-10  1.24267E-12  4.43766E+04 
  2.000E-03  3.04617E-10  1.24211E-12  4.43566E+04 
  2.250E-03  3.85531E-10  1.24148E-12  4.43339E+04 
  2.500E-03  4.75965E-10  1.24077E-12  4.43086E+04 
  2.750E-03  5.75917E-10  1.23998E-12  4.42807E+04 
  3.000E-03  6.85389E-10  1.23913E-12  4.42501E+04 
  3.250E-03  8.04380E-10  1.23820E-12  4.42169E+04 
  3.500E-03  9.32891E-10  1.23720E-12  4.41812E+04 
  3.750E-03  1.07092E-09  1.23612E-12  4.41428E+04 
  4.000E-03  1.21847E-09  1.23498E-12  4.41019E+04 
  4.250E-03  1.37554E-09  1.23376E-12  4.40584E+04 
  4.500E-03  1.54213E-09  1.23247E-12  4.40123E+04 
  4.750E-03  1.71823E-09  1.23111E-12  4.39637E+04 
  5.000E-03  1.90386E-09  1.22968E-12  4.39126E+04 
  5.250E-03  2.09900E-09  1.22818E-12  4.38590E+04 
  5.500E-03  2.30367E-09  1.22661E-12  4.38030E+04 
  5.750E-03  2.51785E-09  1.22497E-12  4.37444E+04 
  6.000E-03  2.74156E-09  1.22326E-12  4.36834E+04 
  6.250E-03  2.97478E-09  1.22148E-12  4.36200E+04 
  6.500E-03  3.21752E-09  1.21964E-12  4.35542E+04 
  6.750E-03  3.46978E-09  1.21773E-12  4.34860E+04 
  7.000E-03  3.73156E-09  1.21575E-12  4.34154E+04 
  7.250E-03  4.00286E-09  1.21371E-12  4.33425E+04 
  7.500E-03  4.28368E-09  1.21161E-12  4.32672E+04 
  7.750E-03  4.57402E-09  1.20944E-12  4.31897E+04 
  8.000E-03  4.87388E-09  1.20720E-12  4.31099E+04 
  8.250E-03  5.18326E-09  1.20490E-12  4.30279E+04 
  8.500E-03  5.50215E-09  1.20254E-12  4.29436E+04 
  8.750E-03  5.83057E-09  1.20012E-12  4.28572E+04 
  9.000E-03  6.16850E-09  1.19764E-12  4.27686E+04 
  9.250E-03  6.51596E-09  1.19510E-12  4.26778E+04 
  9.500E-03  6.87293E-09  1.19250E-12  4.25850E+04 
  9.750E-03  7.23942E-09  1.18984E-12  4.24900E+04 
  1.000E-02  7.61544E-09  1.18713E-12  4.23930E+04 
  1.250E-02  1.18991E-08  1.15698E-12  4.13166E+04 
  1.500E-02  1.71347E-08  1.12203E-12  4.00686E+04 
  1.750E-02  2.33223E-08  1.08320E-12  3.86819E+04 
  2.000E-02  3.04617E-08  1.04141E-12  3.71895E+04 
  2.250E-02  3.85531E-08  9.97551E-13  3.56232E+04 
  2.500E-02  4.75965E-08  9.52440E-13  3.40123E+04 
  2.750E-02  5.75917E-08  9.06805E-13  3.23826E+04 
  3.000E-02  6.85389E-08  8.61268E-13  3.07564E+04 
  3.250E-02  8.04380E-08  8.16342E-13  2.91521E+04 
  3.500E-02  9.32891E-08  7.72436E-13  2.75842E+04 
  3.750E-02  1.07092E-07  7.29866E-13  2.60640E+04 
  4.000E-02  1.21847E-07  6.88861E-13  2.45997E+04 
  4.250E-02  1.37554E-07  6.49578E-13  2.31968E+04 
  4.500E-02  1.54213E-07  6.12115E-13  2.18590E+04 
  4.750E-02  1.71823E-07  5.76520E-13  2.05879E+04 
  5.000E-02  1.90386E-07  5.42804E-13  1.93839E+04 
  5.250E-02  2.09900E-07  5.10947E-13  1.82463E+04 
  5.500E-02  2.30367E-07  4.80908E-13  1.71736E+04 
  5.750E-02  2.51785E-07  4.52630E-13  1.61637E+04 
  6.000E-02  2.74156E-07  4.26045E-13  1.52143E+04 
  6.250E-02  2.97478E-07  4.01077E-13  1.43227E+04 
  6.500E-02  3.21752E-07  3.77646E-13  1.34860E+04 
  6.750E-02  3.46978E-07  3.55673E-13  1.27013E+04 
  7.000E-02  3.73156E-07  3.35075E-13  1.19657E+04 
  7.250E-02  4.00286E-07  3.15773E-13  1.12765E+04 
  7.500E-02  4.28368E-07  2.97689E-13  1.06307E+04 
  7.750E-02  4.57402E-07  2.80748E-13  1.00257E+04 
  8.000E-02  4.87388E-07  2.64879E-13  9.45900E+03 
  8.250E-02  5.18325E-07  2.50013E-13  8.92813E+03 
  8.500E-02  5.50215E-07  2.36086E-13  8.43078E+03 
  8.750E-02  5.83057E-07  2.23036E-13  7.96477E+03 
  9.000E-02  6.16850E-07  2.10807E-13  7.52804E+03 
  9.250E-02  6.51596E-07  1.99343E-13  7.11867E+03 
  9.500E-02  6.87293E-07  1.88595E-13  6.73485E+03 
  9.750E-02  7.23942E-07  1.78515E-13  6.37489E+03 
  1.000E-01  7.61543E-07  1.69059E-13  6.03720E+03 
  1.250E-01  1.18991E-06  1.00934E-13  3.60443E+03 
  1.500E-01  1.71347E-06  6.34779E-14  2.26684E+03 
  1.750E-01  2.33223E-06  4.19188E-14  1.49695E+03 
  2.000E-01  3.04617E-06  2.88908E-14  1.03171E+03 
  2.250E-01  3.85531E-06  2.06311E-14  7.36750E+02 
  2.500E-01  4.75964E-06  1.51583E-14  5.41312E+02 
  2.750E-01  5.75916E-06  1.13916E-14  4.06800E+02 
  3.000E-01  6.85388E-06  8.71721E-15  3.11297E+02 
  3.250E-01  8.04378E-06  6.77123E-15  2.41805E+02 
  3.500E-01  9.32888E-06  5.32782E-15  1.90260E+02 
  3.750E-01  1.07092E-05  4.24080E-15  1.51442E+02 
  4.000E-01  1.21846E-05  3.41186E-15  1.21840E+02 
  4.250E-01  1.37553E-05  2.77279E-15  9.90183E+01 
  4.500E-01  1.54212E-05  2.27519E-15  8.12484E+01 
  4.750E-01  1.71822E-05  1.88403E-15  6.72798E+01 
  5.000E-01  1.90385E-05  1.57368E-15  5.61971E+01 
  5.250E-01  2.09899E-05  1.32520E-15  4.73236E+01 
  5.500E-01  2.30365E-05  1.12446E-15  4.01553E+01 
  5.750E-01  2.51783E-05  9.60885E-16  3.43138E+01 
  6.000E-01  2.74153E-05  8.26468E-16  2.95137E+01 
  6.250E-01  2.97475E-05  7.15127E-16  2.55377E+01 
  6.500E-01  3.21749E-05  6.22206E-16  2.22194E+01 
  6.750E-01  3.46974E-05  5.44109E-16  1.94305E+01 
  7.000E-01  3.73152E-05  4.78039E-16  1.70711E+01 
  7.250E-01  4.00281E-05  4.21804E-16  1.50629E+01 
  7.500E-01  4.28362E-05  3.73671E-16  1.33440E+01 
  7.750E-01  4.57395E-05  3.32258E-16  1.18652E+01 
  8.000E-01  4.87380E-05  2.96457E-16  1.05867E+01 
  8.250E-01  5.18317E-05  2.65369E-16  9.47650E+00 
  8.500E-01  5.50205E-05  2.38263E-16  8.50852E+00 
  8.750E-01  5.83045E-05  2.14537E-16  7.66127E+00 
  9.000E-01  6.16838E-05  1.93697E-16  6.91705E+00 
  9.250E-01  6.51582E-05  1.75329E-16  6.26111E+00 
  9.500E-01  6.87277E-05  1.59089E-16  5.68116E+00 
  9.750E-01  7.23925E-05  1.44687E-16  5.16686E+00 
  1.000E+00  7.61524E-05  1.31879E-16  4.70949E+00 
  1.100E+00  9.21439E-05  9.28779E-17  3.31673E+00 
  1.200E+00  1.09658E-04  6.72931E-17  2.40308E+00 
  1.300E+00  1.28695E-04  4.99469E-17  1.78363E+00 
  1.400E+00  1.49255E-04  3.78485E-17  1.35160E+00 
  1.500E+00  1.71338E-04  2.92013E-17  1.04280E+00 
  1.600E+00  1.94942E-04  2.28879E-17  8.17342E-01 
  1.700E+00  2.20070E-04  1.81917E-17  6.49636E-01 
  1.800E+00  2.46720E-04  1.46404E-17  5.22818E-01 
  1.900E+00  2.74892E-04  1.19152E-17  4.25501E-01 
  2.000E+00  3.04586E-04  9.79619E-18  3.49828E-01 
  2.100E+00  3.35803E-04  8.12862E-18  2.90278E-01 
  2.200E+00  3.68542E-04  6.80192E-18  2.42901E-01 
  2.300E+00  4.02802E-04  5.73578E-18  2.04828E-01 
  2.400E+00  4.38585E-04  4.87110E-18  1.73950E-01 
