 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 6.00000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)        ERRF         ERRG 
 #-----------------------------------------------------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.27855E-06  2.03099E-07  0.00000E+00  0.00000E+00  3.17265E-09  0.00000E+00
  1.000E-04  7.61557E-13  1.27855E-06  2.03099E-07  1.02818E-12  1.63335E-13  3.17170E-09  9.50618E-08
  1.250E-04  1.18994E-12  1.27855E-06  2.03099E-07  1.28522E-12  2.04168E-13  3.17116E-09  9.50538E-08
  1.500E-04  1.71346E-12  1.27854E-06  2.03099E-07  1.54226E-12  2.45002E-13  3.17050E-09  9.50441E-08
  1.750E-04  2.33225E-12  1.27854E-06  2.03099E-07  1.79930E-12  2.85835E-13  3.16973E-09  9.50326E-08
  2.000E-04  3.04617E-12  1.27854E-06  2.03099E-07  2.05634E-12  3.26669E-13  3.16883E-09  9.50193E-08
  2.250E-04  3.85530E-12  1.27853E-06  2.03099E-07  2.31337E-12  3.67503E-13  3.16782E-09  9.50043E-08
  2.500E-04  4.75964E-12  1.27853E-06  2.03099E-07  2.57040E-12  4.08336E-13  3.16669E-09  9.49875E-08
  2.750E-04  5.75917E-12  1.27852E-06  2.03099E-07  2.82743E-12  4.49169E-13  3.16543E-09  9.49689E-08
  3.000E-04  6.85391E-12  1.27851E-06  2.03099E-07  3.08446E-12  4.90003E-13  3.16406E-09  9.49486E-08
  3.250E-04  8.04379E-12  1.27851E-06  2.03098E-07  3.34148E-12  5.30836E-13  3.16257E-09  9.49265E-08
  3.500E-04  9.32893E-12  1.27850E-06  2.03098E-07  3.59849E-12  5.71669E-13  3.16096E-09  9.49026E-08
  3.750E-04  1.07092E-11  1.27849E-06  2.03098E-07  3.85550E-12  6.12502E-13  3.15924E-09  9.48770E-08
  4.000E-04  1.21847E-11  1.27849E-06  2.03098E-07  4.11251E-12  6.53336E-13  3.15739E-09  9.48496E-08
  4.250E-04  1.37554E-11  1.27848E-06  2.03098E-07  4.36951E-12  6.94169E-13  3.15542E-09  9.48205E-08
  4.500E-04  1.54213E-11  1.27847E-06  2.03098E-07  4.62651E-12  7.35001E-13  3.15334E-09  9.47896E-08
  4.750E-04  1.71823E-11  1.27846E-06  2.03098E-07  4.88350E-12  7.75834E-13  3.15114E-09  9.47569E-08
  5.000E-04  1.90386E-11  1.27845E-06  2.03098E-07  5.14049E-12  8.16667E-13  3.14882E-09  9.47225E-08
  5.250E-04  2.09900E-11  1.27844E-06  2.03097E-07  5.39746E-12  8.57500E-13  3.14638E-09  9.46863E-08
  5.500E-04  2.30367E-11  1.27842E-06  2.03097E-07  5.65444E-12  8.98332E-13  3.14383E-09  9.46484E-08
  5.750E-04  2.51785E-11  1.27841E-06  2.03097E-07  5.91140E-12  9.39165E-13  3.14115E-09  9.46087E-08
  6.000E-04  2.74156E-11  1.27840E-06  2.03097E-07  6.16836E-12  9.79997E-13  3.13836E-09  9.45672E-08
  6.250E-04  2.97478E-11  1.27839E-06  2.03097E-07  6.42531E-12  1.02083E-12  3.13545E-09  9.45240E-08
  6.500E-04  3.21752E-11  1.27837E-06  2.03096E-07  6.68225E-12  1.06166E-12  3.13243E-09  9.44791E-08
  6.750E-04  3.46979E-11  1.27836E-06  2.03096E-07  6.93918E-12  1.10249E-12  3.12929E-09  9.44324E-08
  7.000E-04  3.73157E-11  1.27834E-06  2.03096E-07  7.19611E-12  1.14333E-12  3.12602E-09  9.43840E-08
  7.250E-04  4.00286E-11  1.27833E-06  2.03096E-07  7.45302E-12  1.18416E-12  3.12265E-09  9.43338E-08
  7.500E-04  4.28368E-11  1.27831E-06  2.03095E-07  7.70993E-12  1.22499E-12  3.11915E-09  9.42819E-08
  7.750E-04  4.57402E-11  1.27830E-06  2.03095E-07  7.96683E-12  1.26582E-12  3.11554E-09  9.42282E-08
  8.000E-04  4.87388E-11  1.27828E-06  2.03095E-07  8.22371E-12  1.30665E-12  3.11182E-09  9.41728E-08
  8.250E-04  5.18325E-11  1.27826E-06  2.03095E-07  8.48059E-12  1.34748E-12  3.10798E-09  9.41157E-08
  8.500E-04  5.50215E-11  1.27825E-06  2.03094E-07  8.73745E-12  1.38831E-12  3.10402E-09  9.40568E-08
  8.750E-04  5.83057E-11  1.27823E-06  2.03094E-07  8.99431E-12  1.42914E-12  3.09994E-09  9.39962E-08
  9.000E-04  6.16850E-11  1.27821E-06  2.03094E-07  9.25115E-12  1.46997E-12  3.09576E-09  9.39339E-08
  9.250E-04  6.51595E-11  1.27819E-06  2.03094E-07  9.50799E-12  1.51080E-12  3.09145E-09  9.38698E-08
  9.500E-04  6.87293E-11  1.27817E-06  2.03093E-07  9.76481E-12  1.55163E-12  3.08703E-09  9.38040E-08
  9.750E-04  7.23943E-11  1.27815E-06  2.03093E-07  1.00216E-11  1.59246E-12  3.08250E-09  9.37365E-08
  1.000E-03  7.61544E-11  1.27813E-06  2.03093E-07  1.02784E-11  1.63329E-12  3.07785E-09  9.36673E-08
  1.250E-03  1.18991E-10  1.27789E-06  2.03089E-07  1.28456E-11  2.04158E-12  3.02514E-09  9.28809E-08
  1.500E-03  1.71347E-10  1.27760E-06  2.03084E-07  1.54112E-11  2.44984E-12  2.96131E-09  9.19256E-08
  1.750E-03  2.33223E-10  1.27725E-06  2.03079E-07  1.79749E-11  2.85808E-12  2.88671E-09  9.08048E-08
  2.000E-03  3.04617E-10  1.27686E-06  2.03073E-07  2.05364E-11  3.26627E-12  2.80175E-09  8.95226E-08
  2.250E-03  3.85531E-10  1.27641E-06  2.03066E-07  2.30953E-11  3.67443E-12  2.70690E-09  8.80837E-08
  2.500E-03  4.75965E-10  1.27590E-06  2.03058E-07  2.56513E-11  4.08255E-12  2.60268E-09  8.64931E-08
  2.750E-03  5.75917E-10  1.27535E-06  2.03050E-07  2.82042E-11  4.49061E-12  2.48966E-09  8.47566E-08
  3.000E-03  6.85389E-10  1.27474E-06  2.03040E-07  3.07535E-11  4.89862E-12  2.36846E-09  8.28805E-08
  3.250E-03  8.04380E-10  1.27408E-06  2.03030E-07  3.32991E-11  5.30658E-12  2.23974E-09  8.08713E-08
  3.500E-03  9.32891E-10  1.27337E-06  2.03019E-07  3.58406E-11  5.71446E-12  2.10419E-09  7.87363E-08
