 #
 # Projectile: electron
 # Kinetic energy = 7.90000E+06 eV = 2.90320E+05 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 7.73403E-18 cm**2 = 2.76187E-01 a0**2
 # 1st transport cross section = 1.55677E-22 cm**2 = 5.55932E-06 a0**2
 # 2nd transport cross section = 4.23707E-22 cm**2 = 1.51309E-05 a0**2
 #
 #
 # Differential cross section:                    
 #
 #  THETA        MU          DCS          DCS     
 #  (deg)                 (cm**2/sr)   (a0**2/sr) 
 #------------------------------------------------
  0.000E+00  0.00000E+00  2.79713E-12  9.98873E+04
  1.000E-04  7.61557E-13  2.79710E-12  9.98862E+04
  1.250E-04  1.18994E-12  2.79708E-12  9.98856E+04
  1.500E-04  1.71346E-12  2.79706E-12  9.98849E+04
  1.750E-04  2.33225E-12  2.79704E-12  9.98840E+04
  2.000E-04  3.04617E-12  2.79701E-12  9.98830E+04
  2.250E-04  3.85530E-12  2.79698E-12  9.98818E+04
  2.500E-04  4.75964E-12  2.79694E-12  9.98805E+04
  2.750E-04  5.75917E-12  2.79690E-12  9.98791E+04
  3.000E-04  6.85391E-12  2.79686E-12  9.98775E+04
  3.250E-04  8.04379E-12  2.79681E-12  9.98758E+04
  3.500E-04  9.32893E-12  2.79676E-12  9.98740E+04
  3.750E-04  1.07092E-11  2.79670E-12  9.98720E+04
  4.000E-04  1.21847E-11  2.79664E-12  9.98699E+04
  4.250E-04  1.37554E-11  2.79658E-12  9.98677E+04
  4.500E-04  1.54213E-11  2.79651E-12  9.98653E+04
  4.750E-04  1.71823E-11  2.79644E-12  9.98628E+04
  5.000E-04  1.90386E-11  2.79637E-12  9.98602E+04
  5.250E-04  2.09900E-11  2.79629E-12  9.98574E+04
  5.500E-04  2.30367E-11  2.79621E-12  9.98545E+04
  5.750E-04  2.51785E-11  2.79612E-12  9.98514E+04
  6.000E-04  2.74156E-11  2.79603E-12  9.98482E+04
  6.250E-04  2.97478E-11  2.79594E-12  9.98449E+04
  6.500E-04  3.21752E-11  2.79584E-12  9.98414E+04
  6.750E-04  3.46979E-11  2.79574E-12  9.98378E+04
  7.000E-04  3.73157E-11  2.79564E-12  9.98341E+04
  7.250E-04  4.00286E-11  2.79553E-12  9.98302E+04
  7.500E-04  4.28368E-11  2.79542E-12  9.98262E+04
  7.750E-04  4.57402E-11  2.79530E-12  9.98221E+04
  8.000E-04  4.87388E-11  2.79518E-12  9.98178E+04
  8.250E-04  5.18325E-11  2.79506E-12  9.98134E+04
  8.500E-04  5.50215E-11  2.79493E-12  9.98089E+04
  8.750E-04  5.83057E-11  2.79480E-12  9.98042E+04
  9.000E-04  6.16850E-11  2.79467E-12  9.97994E+04
  9.250E-04  6.51595E-11  2.79453E-12  9.97944E+04
  9.500E-04  6.87293E-11  2.79439E-12  9.97893E+04
  9.750E-04  7.23943E-11  2.79424E-12  9.97841E+04
  1.000E-03  7.61544E-11  2.79409E-12  9.97788E+04
  1.250E-03  1.18991E-10  2.79238E-12  9.97178E+04
  1.500E-03  1.71347E-10  2.79030E-12  9.96434E+04
  1.750E-03  2.33223E-10  2.78784E-12  9.95556E+04
